Motivo del viaje;Tipo de dato;Periodo;Total
Total;Dato base;2019M12;4.304.741
Total;Dato base;2019M11;4.655.021
Total;Dato base;2019M10;7.587.749
Total;Dato base;2019M09;8.845.152
Total;Dato base;2019M08;10.118.366
Total;Dato base;2019M07;9.873.270
Total;Dato base;2019M06;8.833.893
Total;Dato base;2019M05;7.919.204
Total;Dato base;2019M04;7.146.033
Total;Dato base;2019M03;5.649.577
Total;Dato base;2019M02;4.380.504
Total;Dato base;2019M01;4.195.641
Total;Dato base;2018M12;4.354.798
Total;Dato base;2018M11;4.536.873
Total;Dato base;2018M10;7.649.860
Total;Dato base;2018M09;8.932.308
Total;Dato base;2018M08;10.175.761
Total;Dato base;2018M07;10.020.246
Total;Dato base;2018M06;8.554.306
Total;Dato base;2018M05;8.086.048
Total;Dato base;2018M04;6.780.378
Total;Dato base;2018M03;5.393.186
Total;Dato base;2018M02;4.218.047
Total;Dato base;2018M01;4.106.601
Total;Dato base;2017M12;3.982.530
Total;Dato base;2017M11;4.392.575
Total;Dato base;2017M10;7.269.931
Total;Dato base;2017M09;8.877.270
Total;Dato base;2017M08;10.397.745
Total;Dato base;2017M07;10.493.438
Total;Dato base;2017M06;8.431.975
Total;Dato base;2017M05;8.002.648
Total;Dato base;2017M04;7.081.594
Total;Dato base;2017M03;4.913.943
Total;Dato base;2017M02;4.119.137
Total;Dato base;2017M01;3.905.736
Total;Dato base;2016M12;3.990.446
Total;Dato base;2016M11;4.098.262
Total;Dato base;2016M10;7.137.723
Total;Dato base;2016M09;7.932.607
Total;Dato base;2016M08;10.027.471
Total;Dato base;2016M07;9.545.792
Total;Dato base;2016M06;7.552.758
Total;Dato base;2016M05;7.111.154
Total;Dato base;2016M04;6.086.327
Total;Dato base;2016M03;4.627.206
Total;Dato base;2016M02;3.678.726
Total;Dato base;2016M01;3.526.537
Total;Dato base;2015M12;3.512.914
Total;Dato base;2015M11;3.754.802
Total;Dato base;2015M10;6.432.341
Ocio, recreo y vacaciones;Dato base;2025M03;5.306.743
Ocio, recreo y vacaciones;Dato base;2025M02;4.422.360
Ocio, recreo y vacaciones;Dato base;2025M01;4.119.870
Ocio, recreo y vacaciones;Dato base;2024M12;4.257.518
Ocio, recreo y vacaciones;Dato base;2024M11;4.622.268
Ocio, recreo y vacaciones;Dato base;2024M10;7.796.628
Ocio, recreo y vacaciones;Dato base;2024M09;8.474.002
Ocio, recreo y vacaciones;Dato base;2024M08;10.156.706
Ocio, recreo y vacaciones;Dato base;2024M07;9.894.693
Ocio, recreo y vacaciones;Dato base;2024M06;8.081.685
Ocio, recreo y vacaciones;Dato base;2024M05;8.070.902
Ocio, recreo y vacaciones;Dato base;2024M04;6.528.656
Ocio, recreo y vacaciones;Dato base;2024M03;5.199.955
Ocio, recreo y vacaciones;Dato base;2024M02;4.045.261
Ocio, recreo y vacaciones;Dato base;2024M01;3.920.738
Ocio, recreo y vacaciones;Dato base;2023M12;4.174.457
Ocio, recreo y vacaciones;Dato base;2023M11;4.181.913
Ocio, recreo y vacaciones;Dato base;2023M10;6.997.851
Ocio, recreo y vacaciones;Dato base;2023M09;7.850.297
Ocio, recreo y vacaciones;Dato base;2023M08;9.392.958
Ocio, recreo y vacaciones;Dato base;2023M07;9.226.130
Ocio, recreo y vacaciones;Dato base;2023M06;7.273.357
Ocio, recreo y vacaciones;Dato base;2023M05;7.273.620
Ocio, recreo y vacaciones;Dato base;2023M04;6.191.036
Ocio, recreo y vacaciones;Dato base;2023M03;4.289.177
Ocio, recreo y vacaciones;Dato base;2023M02;3.511.872
Ocio, recreo y vacaciones;Dato base;2023M01;3.412.404
Ocio, recreo y vacaciones;Dato base;2022M12;3.319.525
Ocio, recreo y vacaciones;Dato base;2022M11;3.554.483
Ocio, recreo y vacaciones;Dato base;2022M10;6.128.414
Ocio, recreo y vacaciones;Dato base;2022M09;6.863.955
Ocio, recreo y vacaciones;Dato base;2022M08;8.156.393
Ocio, recreo y vacaciones;Dato base;2022M07;8.304.492
Ocio, recreo y vacaciones;Dato base;2022M06;6.668.228
Ocio, recreo y vacaciones;Dato base;2022M05;5.931.285
Ocio, recreo y vacaciones;Dato base;2022M04;5.204.968
Ocio, recreo y vacaciones;Dato base;2022M03;3.358.283
Ocio, recreo y vacaciones;Dato base;2022M02;2.632.372
Ocio, recreo y vacaciones;Dato base;2022M01;2.009.257
Ocio, recreo y vacaciones;Dato base;2021M12;2.345.683
Ocio, recreo y vacaciones;Dato base;2021M11;2.815.695
Ocio, recreo y vacaciones;Dato base;2021M10;4.519.648
Ocio, recreo y vacaciones;Dato base;2021M09;4.161.869
Ocio, recreo y vacaciones;Dato base;2021M08;4.758.280
Ocio, recreo y vacaciones;Dato base;2021M07;3.871.103
Ocio, recreo y vacaciones;Dato base;2021M06;1.775.810
Ocio, recreo y vacaciones;Dato base;2021M05;1.006.187
Ocio, recreo y vacaciones;Dato base;2021M04;390.801
Ocio, recreo y vacaciones;Dato base;2021M03;267.565
Ocio, recreo y vacaciones;Dato base;2021M02;162.575
Ocio, recreo y vacaciones;Dato base;2021M01;274.925
Ocio, recreo y vacaciones;Dato base;2020M12;385.414
Ocio, recreo y vacaciones;Dato base;2020M11;295.647
Ocio, recreo y vacaciones;Dato base;2020M10;800.953
Ocio, recreo y vacaciones;Dato base;2020M09;902.587
Ocio, recreo y vacaciones;Dato base;2020M08;2.169.355
Ocio, recreo y vacaciones;Dato base;2020M07;2.122.117
Ocio, recreo y vacaciones;Dato base;2020M06;167.634
Ocio, recreo y vacaciones;Dato base;2020M05;0
Ocio, recreo y vacaciones;Dato base;2020M04;0
Ocio, recreo y vacaciones;Dato base;2020M03;1.657.119
Ocio, recreo y vacaciones;Dato base;2020M02;3.654.750
Ocio, recreo y vacaciones;Dato base;2020M01;3.377.951
Ocio, recreo y vacaciones;Dato base;2019M12;3.533.161
Ocio, recreo y vacaciones;Dato base;2019M11;3.815.851
Ocio, recreo y vacaciones;Dato base;2019M10;6.628.274
Ocio, recreo y vacaciones;Dato base;2019M09;7.947.555
Ocio, recreo y vacaciones;Dato base;2019M08;9.451.449
Ocio, recreo y vacaciones;Dato base;2019M07;8.975.647
Ocio, recreo y vacaciones;Dato base;2019M06;7.817.617
Ocio, recreo y vacaciones;Dato base;2019M05;6.917.988
Ocio, recreo y vacaciones;Dato base;2019M04;6.212.566
Ocio, recreo y vacaciones;Dato base;2019M03;4.685.301
Ocio, recreo y vacaciones;Dato base;2019M02;3.550.662
Ocio, recreo y vacaciones;Dato base;2019M01;3.440.353
Ocio, recreo y vacaciones;Dato base;2018M12;3.571.407
Ocio, recreo y vacaciones;Dato base;2018M11;3.763.368
Ocio, recreo y vacaciones;Dato base;2018M10;6.707.426
Ocio, recreo y vacaciones;Dato base;2018M09;7.987.061
Ocio, recreo y vacaciones;Dato base;2018M08;9.370.729
Ocio, recreo y vacaciones;Dato base;2018M07;9.070.322
Ocio, recreo y vacaciones;Dato base;2018M06;7.508.130
Ocio, recreo y vacaciones;Dato base;2018M05;7.149.584
Ocio, recreo y vacaciones;Dato base;2018M04;5.782.796
Ocio, recreo y vacaciones;Dato base;2018M03;4.341.659
Ocio, recreo y vacaciones;Dato base;2018M02;3.458.372
Ocio, recreo y vacaciones;Dato base;2018M01;3.462.200
Ocio, recreo y vacaciones;Dato base;2017M12;3.217.373
Ocio, recreo y vacaciones;Dato base;2017M11;3.676.581
Ocio, recreo y vacaciones;Dato base;2017M10;6.331.811
Ocio, recreo y vacaciones;Dato base;2017M09;7.949.343
Ocio, recreo y vacaciones;Dato base;2017M08;9.596.016
Ocio, recreo y vacaciones;Dato base;2017M07;9.427.961
Ocio, recreo y vacaciones;Dato base;2017M06;7.401.577
Ocio, recreo y vacaciones;Dato base;2017M05;6.895.568
Ocio, recreo y vacaciones;Dato base;2017M04;6.065.684
Ocio, recreo y vacaciones;Dato base;2017M03;3.995.086
Ocio, recreo y vacaciones;Dato base;2017M02;3.387.506
Ocio, recreo y vacaciones;Dato base;2017M01;3.142.597
Ocio, recreo y vacaciones;Dato base;2016M12;3.115.937
Ocio, recreo y vacaciones;Dato base;2016M11;3.251.951
Ocio, recreo y vacaciones;Dato base;2016M10;6.100.455
Ocio, recreo y vacaciones;Dato base;2016M09;7.057.857
Ocio, recreo y vacaciones;Dato base;2016M08;9.296.900
Ocio, recreo y vacaciones;Dato base;2016M07;8.664.754
Ocio, recreo y vacaciones;Dato base;2016M06;6.591.364
Ocio, recreo y vacaciones;Dato base;2016M05;6.078.190
Ocio, recreo y vacaciones;Dato base;2016M04;4.921.015
Ocio, recreo y vacaciones;Dato base;2016M03;3.747.057
Ocio, recreo y vacaciones;Dato base;2016M02;2.814.264
Ocio, recreo y vacaciones;Dato base;2016M01;2.671.999
Ocio, recreo y vacaciones;Dato base;2015M12;2.631.906
Ocio, recreo y vacaciones;Dato base;2015M11;2.926.298
Ocio, recreo y vacaciones;Dato base;2015M10;5.311.088
Negocio, motivos profesionales;Dato base;2025M03;561.801
Negocio, motivos profesionales;Dato base;2025M02;402.453
Negocio, motivos profesionales;Dato base;2025M01;244.325
Negocio, motivos profesionales;Dato base;2024M12;287.335
Negocio, motivos profesionales;Dato base;2024M11;463.667
Negocio, motivos profesionales;Dato base;2024M10;525.253
Negocio, motivos profesionales;Dato base;2024M09;567.884
Negocio, motivos profesionales;Dato base;2024M08;152.920
Negocio, motivos profesionales;Dato base;2024M07;338.706
Negocio, motivos profesionales;Dato base;2024M06;578.622
Negocio, motivos profesionales;Dato base;2024M05;520.685
Negocio, motivos profesionales;Dato base;2024M04;517.288
Negocio, motivos profesionales;Dato base;2024M03;511.019
Negocio, motivos profesionales;Dato base;2024M02;458.250
Negocio, motivos profesionales;Dato base;2024M01;226.822
Negocio, motivos profesionales;Dato base;2023M12;280.033
Negocio, motivos profesionales;Dato base;2023M11;435.424
Negocio, motivos profesionales;Dato base;2023M10;606.756
Negocio, motivos profesionales;Dato base;2023M09;498.439
Negocio, motivos profesionales;Dato base;2023M08;153.751
Negocio, motivos profesionales;Dato base;2023M07;339.885
Negocio, motivos profesionales;Dato base;2023M06;506.317
Negocio, motivos profesionales;Dato base;2023M05;462.140
Negocio, motivos profesionales;Dato base;2023M04;415.906
Negocio, motivos profesionales;Dato base;2023M03;471.392
Negocio, motivos profesionales;Dato base;2023M02;388.515
Negocio, motivos profesionales;Dato base;2023M01;267.341
Negocio, motivos profesionales;Dato base;2022M12;282.800
Negocio, motivos profesionales;Dato base;2022M11;424.499
Negocio, motivos profesionales;Dato base;2022M10;552.119
Negocio, motivos profesionales;Dato base;2022M09;491.244
Negocio, motivos profesionales;Dato base;2022M08;230.308
Negocio, motivos profesionales;Dato base;2022M07;298.116
Negocio, motivos profesionales;Dato base;2022M06;430.281
Negocio, motivos profesionales;Dato base;2022M05;542.405
Negocio, motivos profesionales;Dato base;2022M04;417.369
Negocio, motivos profesionales;Dato base;2022M03;366.007
Negocio, motivos profesionales;Dato base;2022M02;227.395
Negocio, motivos profesionales;Dato base;2022M01;148.350
Negocio, motivos profesionales;Dato base;2021M12;220.570
Negocio, motivos profesionales;Dato base;2021M11;252.041
Negocio, motivos profesionales;Dato base;2021M10;290.320
Negocio, motivos profesionales;Dato base;2021M09;256.046
Negocio, motivos profesionales;Dato base;2021M08;110.660
Negocio, motivos profesionales;Dato base;2021M07;181.782
Negocio, motivos profesionales;Dato base;2021M06;190.247
Negocio, motivos profesionales;Dato base;2021M05;180.473
Negocio, motivos profesionales;Dato base;2021M04;133.412
Negocio, motivos profesionales;Dato base;2021M03;134.405
Negocio, motivos profesionales;Dato base;2021M02;65.992
Negocio, motivos profesionales;Dato base;2021M01;60.272
Negocio, motivos profesionales;Dato base;2020M12;103.055
Negocio, motivos profesionales;Dato base;2020M11;80.992
Negocio, motivos profesionales;Dato base;2020M10;70.468
Negocio, motivos profesionales;Dato base;2020M09;74.877
Negocio, motivos profesionales;Dato base;2020M08;45.800
Negocio, motivos profesionales;Dato base;2020M07;97.400
Negocio, motivos profesionales;Dato base;2020M06;12.680
Negocio, motivos profesionales;Dato base;2020M05;0
Negocio, motivos profesionales;Dato base;2020M04;0
Negocio, motivos profesionales;Dato base;2020M03;137.113
Negocio, motivos profesionales;Dato base;2020M02;353.616
Negocio, motivos profesionales;Dato base;2020M01;370.060
Negocio, motivos profesionales;Dato base;2019M12;384.744
Negocio, motivos profesionales;Dato base;2019M11;490.102
Negocio, motivos profesionales;Dato base;2019M10;577.666
Negocio, motivos profesionales;Dato base;2019M09;514.014
Negocio, motivos profesionales;Dato base;2019M08;186.837
Negocio, motivos profesionales;Dato base;2019M07;425.815
Negocio, motivos profesionales;Dato base;2019M06;589.064
Negocio, motivos profesionales;Dato base;2019M05;544.991
Negocio, motivos profesionales;Dato base;2019M04;440.058
Negocio, motivos profesionales;Dato base;2019M03;487.217
Negocio, motivos profesionales;Dato base;2019M02;426.478
Negocio, motivos profesionales;Dato base;2019M01;342.198
Negocio, motivos profesionales;Dato base;2018M12;321.116
Negocio, motivos profesionales;Dato base;2018M11;445.118
Negocio, motivos profesionales;Dato base;2018M10;525.779
Negocio, motivos profesionales;Dato base;2018M09;507.364
Negocio, motivos profesionales;Dato base;2018M08;165.191
Negocio, motivos profesionales;Dato base;2018M07;337.017
Negocio, motivos profesionales;Dato base;2018M06;492.467
Negocio, motivos profesionales;Dato base;2018M05;422.922
Negocio, motivos profesionales;Dato base;2018M04;514.279
Negocio, motivos profesionales;Dato base;2018M03;586.826
Negocio, motivos profesionales;Dato base;2018M02;435.131
Negocio, motivos profesionales;Dato base;2018M01;270.147
Negocio, motivos profesionales;Dato base;2017M12;343.303
Negocio, motivos profesionales;Dato base;2017M11;378.712
Negocio, motivos profesionales;Dato base;2017M10;490.368
Negocio, motivos profesionales;Dato base;2017M09;512.468
Negocio, motivos profesionales;Dato base;2017M08;167.352
Negocio, motivos profesionales;Dato base;2017M07;355.118
Negocio, motivos profesionales;Dato base;2017M06;502.206
Negocio, motivos profesionales;Dato base;2017M05;493.965
Negocio, motivos profesionales;Dato base;2017M04;363.773
Negocio, motivos profesionales;Dato base;2017M03;444.136
Negocio, motivos profesionales;Dato base;2017M02;346.003
Negocio, motivos profesionales;Dato base;2017M01;323.058
Negocio, motivos profesionales;Dato base;2016M12;338.164
Negocio, motivos profesionales;Dato base;2016M11;416.829
Negocio, motivos profesionales;Dato base;2016M10;545.652
Negocio, motivos profesionales;Dato base;2016M09;396.444
Negocio, motivos profesionales;Dato base;2016M08;122.373
Negocio, motivos profesionales;Dato base;2016M07;303.483
Negocio, motivos profesionales;Dato base;2016M06;442.129
Negocio, motivos profesionales;Dato base;2016M05;478.728
Negocio, motivos profesionales;Dato base;2016M04;459.199
Negocio, motivos profesionales;Dato base;2016M03;387.761
Negocio, motivos profesionales;Dato base;2016M02;441.059
Negocio, motivos profesionales;Dato base;2016M01;347.876
Negocio, motivos profesionales;Dato base;2015M12;301.888
Negocio, motivos profesionales;Dato base;2015M11;393.014
Negocio, motivos profesionales;Dato base;2015M10;469.568
Otros motivos;Dato base;2025M03;725.060
Otros motivos;Dato base;2025M02;572.465
Otros motivos;Dato base;2025M01;700.898
Otros motivos;Dato base;2024M12;719.521
Otros motivos;Dato base;2024M11;584.284
Otros motivos;Dato base;2024M10;640.051
Otros motivos;Dato base;2024M09;560.130
Otros motivos;Dato base;2024M08;619.957
Otros motivos;Dato base;2024M07;618.949
Otros motivos;Dato base;2024M06;639.267
Otros motivos;Dato base;2024M05;664.398
Otros motivos;Dato base;2024M04;737.805
Otros motivos;Dato base;2024M03;639.496
Otros motivos;Dato base;2024M02;509.986
Otros motivos;Dato base;2024M01;627.989
Otros motivos;Dato base;2023M12;754.595
Otros motivos;Dato base;2023M11;518.162
Otros motivos;Dato base;2023M10;582.416
Otros motivos;Dato base;2023M09;446.690
Otros motivos;Dato base;2023M08;639.454
Otros motivos;Dato base;2023M07;550.901
Otros motivos;Dato base;2023M06;527.786
Otros motivos;Dato base;2023M05;564.624
Otros motivos;Dato base;2023M04;621.152
Otros motivos;Dato base;2023M03;486.773
Otros motivos;Dato base;2023M02;420.277
Otros motivos;Dato base;2023M01;455.249
Otros motivos;Dato base;2022M12;524.968
Otros motivos;Dato base;2022M11;355.669
Otros motivos;Dato base;2022M10;496.451
Otros motivos;Dato base;2022M09;412.013
Otros motivos;Dato base;2022M08;461.963
Otros motivos;Dato base;2022M07;488.782
Otros motivos;Dato base;2022M06;399.647
Otros motivos;Dato base;2022M05;514.663
Otros motivos;Dato base;2022M04;483.979
Otros motivos;Dato base;2022M03;315.242
Otros motivos;Dato base;2022M02;319.521
Otros motivos;Dato base;2022M01;343.836
Otros motivos;Dato base;2021M12;381.272
Otros motivos;Dato base;2021M11;294.178
Otros motivos;Dato base;2021M10;338.852
Otros motivos;Dato base;2021M09;286.018
Otros motivos;Dato base;2021M08;327.580
Otros motivos;Dato base;2021M07;346.108
Otros motivos;Dato base;2021M06;250.299
Otros motivos;Dato base;2021M05;176.503
Otros motivos;Dato base;2021M04;104.992
Otros motivos;Dato base;2021M03;89.457
Otros motivos;Dato base;2021M02;56.408
Otros motivos;Dato base;2021M01;102.776
Otros motivos;Dato base;2020M12;160.521
Otros motivos;Dato base;2020M11;80.175
Otros motivos;Dato base;2020M10;149.352
Otros motivos;Dato base;2020M09;161.404
Otros motivos;Dato base;2020M08;225.822
Otros motivos;Dato base;2020M07;245.263
Otros motivos;Dato base;2020M06;23.958
Otros motivos;Dato base;2020M05;0
Otros motivos;Dato base;2020M04;0
Otros motivos;Dato base;2020M03;203.030
Otros motivos;Dato base;2020M02;418.978
Otros motivos;Dato base;2020M01;385.013
Otros motivos;Dato base;2019M12;386.836
Otros motivos;Dato base;2019M11;349.069
Otros motivos;Dato base;2019M10;381.809
Otros motivos;Dato base;2019M09;383.584
Otros motivos;Dato base;2019M08;480.080
Otros motivos;Dato base;2019M07;471.808
Otros motivos;Dato base;2019M06;427.213
Otros motivos;Dato base;2019M05;456.226
Otros motivos;Dato base;2019M04;493.409
Otros motivos;Dato base;2019M03;477.059
Otros motivos;Dato base;2019M02;403.364
Otros motivos;Dato base;2019M01;413.090
Otros motivos;Dato base;2018M12;462.275
Otros motivos;Dato base;2018M11;328.388
Otros motivos;Dato base;2018M10;416.656
Otros motivos;Dato base;2018M09;437.884
Otros motivos;Dato base;2018M08;639.841
Otros motivos;Dato base;2018M07;612.908
Otros motivos;Dato base;2018M06;553.709
Otros motivos;Dato base;2018M05;513.543
Otros motivos;Dato base;2018M04;483.303
Otros motivos;Dato base;2018M03;464.702
Otros motivos;Dato base;2018M02;324.544
Otros motivos;Dato base;2018M01;374.254
Otros motivos;Dato base;2017M12;421.854
Otros motivos;Dato base;2017M11;337.281
Otros motivos;Dato base;2017M10;447.753
Otros motivos;Dato base;2017M09;415.460
Otros motivos;Dato base;2017M08;634.376
Otros motivos;Dato base;2017M07;710.359
Otros motivos;Dato base;2017M06;528.191
Otros motivos;Dato base;2017M05;613.115
Otros motivos;Dato base;2017M04;652.137
Otros motivos;Dato base;2017M03;474.721
Otros motivos;Dato base;2017M02;385.628
Otros motivos;Dato base;2017M01;440.081
Otros motivos;Dato base;2016M12;536.345
Otros motivos;Dato base;2016M11;429.482
Otros motivos;Dato base;2016M10;491.615
Otros motivos;Dato base;2016M09;478.306
Otros motivos;Dato base;2016M08;608.198
Otros motivos;Dato base;2016M07;577.555
Otros motivos;Dato base;2016M06;519.265
Otros motivos;Dato base;2016M05;554.236
Otros motivos;Dato base;2016M04;706.113
Otros motivos;Dato base;2016M03;492.388
Otros motivos;Dato base;2016M02;423.403
Otros motivos;Dato base;2016M01;506.662
Otros motivos;Dato base;2015M12;579.120
Otros motivos;Dato base;2015M11;435.490
Otros motivos;Dato base;2015M10;651.685
