Tipo de dato;Motivo del viaje;Periodo;Total
Dato base;Ocio, recreo y vacaciones;2020M01;3.377.951
Dato base;Ocio, recreo y vacaciones;2019M12;3.533.161
Dato base;Ocio, recreo y vacaciones;2019M11;3.815.851
Dato base;Ocio, recreo y vacaciones;2019M10;6.628.274
Dato base;Ocio, recreo y vacaciones;2019M09;7.947.555
Dato base;Ocio, recreo y vacaciones;2019M08;9.451.449
Dato base;Ocio, recreo y vacaciones;2019M07;8.975.647
Dato base;Ocio, recreo y vacaciones;2019M06;7.817.617
Dato base;Ocio, recreo y vacaciones;2019M05;6.917.988
Dato base;Ocio, recreo y vacaciones;2019M04;6.212.566
Dato base;Ocio, recreo y vacaciones;2019M03;4.685.301
Dato base;Ocio, recreo y vacaciones;2019M02;3.550.662
Dato base;Ocio, recreo y vacaciones;2019M01;3.440.353
Dato base;Ocio, recreo y vacaciones;2018M12;3.571.407
Dato base;Ocio, recreo y vacaciones;2018M11;3.763.368
Dato base;Ocio, recreo y vacaciones;2018M10;6.707.426
Dato base;Ocio, recreo y vacaciones;2018M09;7.987.061
Dato base;Ocio, recreo y vacaciones;2018M08;9.370.729
Dato base;Ocio, recreo y vacaciones;2018M07;9.070.322
Dato base;Ocio, recreo y vacaciones;2018M06;7.508.130
Dato base;Ocio, recreo y vacaciones;2018M05;7.149.584
Dato base;Ocio, recreo y vacaciones;2018M04;5.782.796
Dato base;Ocio, recreo y vacaciones;2018M03;4.341.659
Dato base;Ocio, recreo y vacaciones;2018M02;3.458.372
Dato base;Ocio, recreo y vacaciones;2018M01;3.462.200
Dato base;Ocio, recreo y vacaciones;2017M12;3.217.373
Dato base;Ocio, recreo y vacaciones;2017M11;3.676.581
Dato base;Ocio, recreo y vacaciones;2017M10;6.331.811
Dato base;Ocio, recreo y vacaciones;2017M09;7.949.343
Dato base;Ocio, recreo y vacaciones;2017M08;9.596.016
Dato base;Ocio, recreo y vacaciones;2017M07;9.427.961
Dato base;Ocio, recreo y vacaciones;2017M06;7.401.577
Dato base;Ocio, recreo y vacaciones;2017M05;6.895.568
Dato base;Ocio, recreo y vacaciones;2017M04;6.065.684
Dato base;Ocio, recreo y vacaciones;2017M03;3.995.086
Dato base;Ocio, recreo y vacaciones;2017M02;3.387.506
Dato base;Ocio, recreo y vacaciones;2017M01;3.142.597
Dato base;Ocio, recreo y vacaciones;2016M12;3.115.937
Dato base;Ocio, recreo y vacaciones;2016M11;3.251.951
Dato base;Ocio, recreo y vacaciones;2016M10;6.100.455
Dato base;Ocio, recreo y vacaciones;2016M09;7.057.857
Dato base;Ocio, recreo y vacaciones;2016M08;9.296.900
Dato base;Ocio, recreo y vacaciones;2016M07;8.664.754
Dato base;Ocio, recreo y vacaciones;2016M06;6.591.364
Dato base;Ocio, recreo y vacaciones;2016M05;6.078.190
Dato base;Ocio, recreo y vacaciones;2016M04;4.921.015
Dato base;Ocio, recreo y vacaciones;2016M03;3.747.057
Dato base;Ocio, recreo y vacaciones;2016M02;2.814.264
Dato base;Ocio, recreo y vacaciones;2016M01;2.671.999
Dato base;Ocio, recreo y vacaciones;2015M12;2.631.906
Dato base;Ocio, recreo y vacaciones;2015M11;2.926.298
Dato base;Ocio, recreo y vacaciones;2015M10;5.311.088
Dato base;Negocio, motivos profesionales;2025M03;561.801
Dato base;Negocio, motivos profesionales;2025M02;402.453
Dato base;Negocio, motivos profesionales;2025M01;244.325
Dato base;Negocio, motivos profesionales;2024M12;287.335
Dato base;Negocio, motivos profesionales;2024M11;463.667
Dato base;Negocio, motivos profesionales;2024M10;525.253
Dato base;Negocio, motivos profesionales;2024M09;567.884
Dato base;Negocio, motivos profesionales;2024M08;152.920
Dato base;Negocio, motivos profesionales;2024M07;338.706
Dato base;Negocio, motivos profesionales;2024M06;578.622
Dato base;Negocio, motivos profesionales;2024M05;520.685
Dato base;Negocio, motivos profesionales;2024M04;517.288
Dato base;Negocio, motivos profesionales;2024M03;511.019
Dato base;Negocio, motivos profesionales;2024M02;458.250
Dato base;Negocio, motivos profesionales;2024M01;226.822
Dato base;Negocio, motivos profesionales;2023M12;280.033
Dato base;Negocio, motivos profesionales;2023M11;435.424
Dato base;Negocio, motivos profesionales;2023M10;606.756
Dato base;Negocio, motivos profesionales;2023M09;498.439
Dato base;Negocio, motivos profesionales;2023M08;153.751
Dato base;Negocio, motivos profesionales;2023M07;339.885
Dato base;Negocio, motivos profesionales;2023M06;506.317
Dato base;Negocio, motivos profesionales;2023M05;462.140
Dato base;Negocio, motivos profesionales;2023M04;415.906
Dato base;Negocio, motivos profesionales;2023M03;471.392
Dato base;Negocio, motivos profesionales;2023M02;388.515
Dato base;Negocio, motivos profesionales;2023M01;267.341
Dato base;Negocio, motivos profesionales;2022M12;282.800
Dato base;Negocio, motivos profesionales;2022M11;424.499
Dato base;Negocio, motivos profesionales;2022M10;552.119
Dato base;Negocio, motivos profesionales;2022M09;491.244
Dato base;Negocio, motivos profesionales;2022M08;230.308
Dato base;Negocio, motivos profesionales;2022M07;298.116
Dato base;Negocio, motivos profesionales;2022M06;430.281
Dato base;Negocio, motivos profesionales;2022M05;542.405
Dato base;Negocio, motivos profesionales;2022M04;417.369
Dato base;Negocio, motivos profesionales;2022M03;366.007
Dato base;Negocio, motivos profesionales;2022M02;227.395
Dato base;Negocio, motivos profesionales;2022M01;148.350
Dato base;Negocio, motivos profesionales;2021M12;220.570
Dato base;Negocio, motivos profesionales;2021M11;252.041
Dato base;Negocio, motivos profesionales;2021M10;290.320
Dato base;Negocio, motivos profesionales;2021M09;256.046
Dato base;Negocio, motivos profesionales;2021M08;110.660
Dato base;Negocio, motivos profesionales;2021M07;181.782
Dato base;Negocio, motivos profesionales;2021M06;190.247
Dato base;Negocio, motivos profesionales;2021M05;180.473
Dato base;Negocio, motivos profesionales;2021M04;133.412
Dato base;Negocio, motivos profesionales;2021M03;134.405
Dato base;Negocio, motivos profesionales;2021M02;65.992
Dato base;Negocio, motivos profesionales;2021M01;60.272
Dato base;Negocio, motivos profesionales;2020M12;103.055
Dato base;Negocio, motivos profesionales;2020M11;80.992
Dato base;Negocio, motivos profesionales;2020M10;70.468
Dato base;Negocio, motivos profesionales;2020M09;74.877
Dato base;Negocio, motivos profesionales;2020M08;45.800
Dato base;Negocio, motivos profesionales;2020M07;97.400
Dato base;Negocio, motivos profesionales;2020M06;12.680
Dato base;Negocio, motivos profesionales;2020M05;0
Dato base;Negocio, motivos profesionales;2020M04;0
Dato base;Negocio, motivos profesionales;2020M03;137.113
Dato base;Negocio, motivos profesionales;2020M02;353.616
Dato base;Negocio, motivos profesionales;2020M01;370.060
Dato base;Negocio, motivos profesionales;2019M12;384.744
Dato base;Negocio, motivos profesionales;2019M11;490.102
Dato base;Negocio, motivos profesionales;2019M10;577.666
Dato base;Negocio, motivos profesionales;2019M09;514.014
Dato base;Negocio, motivos profesionales;2019M08;186.837
Dato base;Negocio, motivos profesionales;2019M07;425.815
Dato base;Negocio, motivos profesionales;2019M06;589.064
Dato base;Negocio, motivos profesionales;2019M05;544.991
Dato base;Negocio, motivos profesionales;2019M04;440.058
Dato base;Negocio, motivos profesionales;2019M03;487.217
Dato base;Negocio, motivos profesionales;2019M02;426.478
Dato base;Negocio, motivos profesionales;2019M01;342.198
Dato base;Negocio, motivos profesionales;2018M12;321.116
Dato base;Negocio, motivos profesionales;2018M11;445.118
Dato base;Negocio, motivos profesionales;2018M10;525.779
Dato base;Negocio, motivos profesionales;2018M09;507.364
Dato base;Negocio, motivos profesionales;2018M08;165.191
Dato base;Negocio, motivos profesionales;2018M07;337.017
Dato base;Negocio, motivos profesionales;2018M06;492.467
Dato base;Negocio, motivos profesionales;2018M05;422.922
Dato base;Negocio, motivos profesionales;2018M04;514.279
Dato base;Negocio, motivos profesionales;2018M03;586.826
Dato base;Negocio, motivos profesionales;2018M02;435.131
Dato base;Negocio, motivos profesionales;2018M01;270.147
Dato base;Negocio, motivos profesionales;2017M12;343.303
Dato base;Negocio, motivos profesionales;2017M11;378.712
Dato base;Negocio, motivos profesionales;2017M10;490.368
Dato base;Negocio, motivos profesionales;2017M09;512.468
Dato base;Negocio, motivos profesionales;2017M08;167.352
Dato base;Negocio, motivos profesionales;2017M07;355.118
Dato base;Negocio, motivos profesionales;2017M06;502.206
Dato base;Negocio, motivos profesionales;2017M05;493.965
Dato base;Negocio, motivos profesionales;2017M04;363.773
Dato base;Negocio, motivos profesionales;2017M03;444.136
Dato base;Negocio, motivos profesionales;2017M02;346.003
Dato base;Negocio, motivos profesionales;2017M01;323.058
Dato base;Negocio, motivos profesionales;2016M12;338.164
Dato base;Negocio, motivos profesionales;2016M11;416.829
Dato base;Negocio, motivos profesionales;2016M10;545.652
Dato base;Negocio, motivos profesionales;2016M09;396.444
Dato base;Negocio, motivos profesionales;2016M08;122.373
Dato base;Negocio, motivos profesionales;2016M07;303.483
Dato base;Negocio, motivos profesionales;2016M06;442.129
Dato base;Negocio, motivos profesionales;2016M05;478.728
Dato base;Negocio, motivos profesionales;2016M04;459.199
Dato base;Negocio, motivos profesionales;2016M03;387.761
Dato base;Negocio, motivos profesionales;2016M02;441.059
Dato base;Negocio, motivos profesionales;2016M01;347.876
Dato base;Negocio, motivos profesionales;2015M12;301.888
Dato base;Negocio, motivos profesionales;2015M11;393.014
Dato base;Negocio, motivos profesionales;2015M10;469.568
Dato base;Otros motivos;2025M03;725.060
Dato base;Otros motivos;2025M02;572.465
Dato base;Otros motivos;2025M01;700.898
Dato base;Otros motivos;2024M12;719.521
Dato base;Otros motivos;2024M11;584.284
Dato base;Otros motivos;2024M10;640.051
Dato base;Otros motivos;2024M09;560.130
Dato base;Otros motivos;2024M08;619.957
Dato base;Otros motivos;2024M07;618.949
Dato base;Otros motivos;2024M06;639.267
Dato base;Otros motivos;2024M05;664.398
Dato base;Otros motivos;2024M04;737.805
Dato base;Otros motivos;2024M03;639.496
Dato base;Otros motivos;2024M02;509.986
Dato base;Otros motivos;2024M01;627.989
Dato base;Otros motivos;2023M12;754.595
Dato base;Otros motivos;2023M11;518.162
Dato base;Otros motivos;2023M10;582.416
Dato base;Otros motivos;2023M09;446.690
Dato base;Otros motivos;2023M08;639.454
Dato base;Otros motivos;2023M07;550.901
Dato base;Otros motivos;2023M06;527.786
Dato base;Otros motivos;2023M05;564.624
Dato base;Otros motivos;2023M04;621.152
Dato base;Otros motivos;2023M03;486.773
Dato base;Otros motivos;2023M02;420.277
Dato base;Otros motivos;2023M01;455.249
Dato base;Otros motivos;2022M12;524.968
Dato base;Otros motivos;2022M11;355.669
Dato base;Otros motivos;2022M10;496.451
Dato base;Otros motivos;2022M09;412.013
Dato base;Otros motivos;2022M08;461.963
Dato base;Otros motivos;2022M07;488.782
Dato base;Otros motivos;2022M06;399.647
Dato base;Otros motivos;2022M05;514.663
Dato base;Otros motivos;2022M04;483.979
Dato base;Otros motivos;2022M03;315.242
Dato base;Otros motivos;2022M02;319.521
Dato base;Otros motivos;2022M01;343.836
Dato base;Otros motivos;2021M12;381.272
Dato base;Otros motivos;2021M11;294.178
Dato base;Otros motivos;2021M10;338.852
Dato base;Otros motivos;2021M09;286.018
Dato base;Otros motivos;2021M08;327.580
Dato base;Otros motivos;2021M07;346.108
Dato base;Otros motivos;2021M06;250.299
Dato base;Otros motivos;2021M05;176.503
Dato base;Otros motivos;2021M04;104.992
Dato base;Otros motivos;2021M03;89.457
Dato base;Otros motivos;2021M02;56.408
Dato base;Otros motivos;2021M01;102.776
Dato base;Otros motivos;2020M12;160.521
Dato base;Otros motivos;2020M11;80.175
Dato base;Otros motivos;2020M10;149.352
Dato base;Otros motivos;2020M09;161.404
Dato base;Otros motivos;2020M08;225.822
Dato base;Otros motivos;2020M07;245.263
Dato base;Otros motivos;2020M06;23.958
Dato base;Otros motivos;2020M05;0
Dato base;Otros motivos;2020M04;0
Dato base;Otros motivos;2020M03;203.030
Dato base;Otros motivos;2020M02;418.978
Dato base;Otros motivos;2020M01;385.013
Dato base;Otros motivos;2019M12;386.836
Dato base;Otros motivos;2019M11;349.069
Dato base;Otros motivos;2019M10;381.809
Dato base;Otros motivos;2019M09;383.584
Dato base;Otros motivos;2019M08;480.080
Dato base;Otros motivos;2019M07;471.808
Dato base;Otros motivos;2019M06;427.213
Dato base;Otros motivos;2019M05;456.226
Dato base;Otros motivos;2019M04;493.409
Dato base;Otros motivos;2019M03;477.059
Dato base;Otros motivos;2019M02;403.364
Dato base;Otros motivos;2019M01;413.090
Dato base;Otros motivos;2018M12;462.275
Dato base;Otros motivos;2018M11;328.388
Dato base;Otros motivos;2018M10;416.656
Dato base;Otros motivos;2018M09;437.884
Dato base;Otros motivos;2018M08;639.841
Dato base;Otros motivos;2018M07;612.908
Dato base;Otros motivos;2018M06;553.709
Dato base;Otros motivos;2018M05;513.543
Dato base;Otros motivos;2018M04;483.303
Dato base;Otros motivos;2018M03;464.702
Dato base;Otros motivos;2018M02;324.544
Dato base;Otros motivos;2018M01;374.254
Dato base;Otros motivos;2017M12;421.854
Dato base;Otros motivos;2017M11;337.281
Dato base;Otros motivos;2017M10;447.753
Dato base;Otros motivos;2017M09;415.460
Dato base;Otros motivos;2017M08;634.376
Dato base;Otros motivos;2017M07;710.359
Dato base;Otros motivos;2017M06;528.191
Dato base;Otros motivos;2017M05;613.115
Dato base;Otros motivos;2017M04;652.137
Dato base;Otros motivos;2017M03;474.721
Dato base;Otros motivos;2017M02;385.628
Dato base;Otros motivos;2017M01;440.081
Dato base;Otros motivos;2016M12;536.345
Dato base;Otros motivos;2016M11;429.482
Dato base;Otros motivos;2016M10;491.615
Dato base;Otros motivos;2016M09;478.306
Dato base;Otros motivos;2016M08;608.198
Dato base;Otros motivos;2016M07;577.555
Dato base;Otros motivos;2016M06;519.265
Dato base;Otros motivos;2016M05;554.236
Dato base;Otros motivos;2016M04;706.113
Dato base;Otros motivos;2016M03;492.388
Dato base;Otros motivos;2016M02;423.403
Dato base;Otros motivos;2016M01;506.662
Dato base;Otros motivos;2015M12;579.120
Dato base;Otros motivos;2015M11;435.490
Dato base;Otros motivos;2015M10;651.685
